,CASE_NUMBER,HREF,YEAR,DATE,TIME,COUNTRY,AREA,LOCATION,SPECIES,PROVOCATION,ACTIVITY,SEX,AGE,FATAL_YN,BODY_AREA_ATTACKED,TYPE_OF_INJURY
313,2014.07.05.b,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.07.05.b-Robles.pdf,2014,05-Jul-14,morning,USA,California,"Manhattan Beach, Los Angeles County","White shark, 7'",Provoked,swimming,M,NOT AVAILABLE,N,abdomen,bite
314,2014.07.05.a,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.07.05.a-Surfer.pdf,2014,05-Jul-14,early morning,USA,California,"Oceano Dunes State Beach, San Luis Obispo County",NOT AVAILABLE,Unprovoked,surfing,M,NOT AVAILABLE,N,no injury,bite
315,2014.07.03,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.07.03-Fairbourne.pdf,2014,03-Jul-14,evening,USA,South Carolina,"Isle of Palms, Charleston County",4' to 5' shark,Unprovoked,body surfing,M,18-24,N,upper limbs,bite
316,2014.06.27.R,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.06.27-Mooney.pdf,2014,Reported 27-Jun-2014,NOT AVAILABLE,ST. MARTIN,NOT AVAILABLE,20 miles from shore,Oceanic whitetip shark',Boat,in row boat,M,45-54,N,NOT AVAILABLE,NOT AVAILABLE
317,2014.06.25,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.06.25-Adams.pdf,2014,25-Jun-14,afternoon,BAHAMAS,Abaco Islands,NOT AVAILABLE,"Caribbean reef shark, 7' to 8'",Unprovoked,spearfishing,M,35-44,N,no injury,no injury
318,2014.06.18.b,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.06.18.b-Longhurst.pdf,2014,18-Jun-14,afternoon,AUSTRALIA,South Australia,"Middleton Point, Fleurieu Peninsula",NOT AVAILABLE,Unprovoked,surfing,M,NOT AVAILABLE,N,no injury,no injury
319,2014.06.18.a,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.06.18.a-McKinnon.pdf,2014,18-Jun-14,afternoon,AUSTRALIA,South Australia,"Middleton Point, Fleurieu Peninsula",NOT AVAILABLE,Unprovoked,body boarding,M,12-17,N,lower limbs,lacerations
320,2014.06.17.R,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.06.17.R-Wright.pdf,2014,Reported 17-Jun-2014,NOT AVAILABLE,AUSTRALIA,Western Australia,Horizontal Falls,"Lemon shark, 3.5 m",Provoked,petting a shark,M,NOT AVAILABLE,N,upper limbs,lacerations
321,2014.06.09.c,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.06.09.c-Sunarko.pdf,2014,09-Jun-14,NOT AVAILABLE,BRAZIL,NOT AVAILABLE,500 km off the coast of Pernambuco,NOT AVAILABLE,Unprovoked,fishing,M,35-44,N,upper limbs,NOT AVAILABLE
322,2014.06.09.b,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.06.09.b-Vance.pdf,2014,09-Jun-14,afternoon,USA,Delaware,"Cape Henlopen State Park, Sussex County","Sandbar shark, 3' to 4'",Unprovoked,standing,M,12-17,N,upper limbs,lacerations
323,2014.06.09.a,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.06.09-Berry.pdf,2014,09-Jun-14,morning,AUSTRALIA,South Australia,"Parsons Beach,  Fleurieu Peninsula","Bronze whaler shark, 1.5m",Unprovoked,body boarding,M,35-44,N,abdomen,NOT AVAILABLE
324,2014.06.08,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.06.08-Takahashi.pdf,2014,08-Jun-14,afternoon,JAPAN,Atsumi peninsula,Aichi,NOT AVAILABLE,Unprovoked,surfing,M,35-44,N,upper limbs,bite
325,2014.06.07,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.06.07-Medina.pdf,2014,07-Jun-14,afternoon,USA,Texas,"West Beach, Galveston",NOT AVAILABLE,Unprovoked,kneeling in the water,F,12-17,N,upper limbs,lacerations
326,2014.06.01.c,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.06.01.c-Vaughn.pdf,2014,01-Jun-14,afternoon,USA,Florida,Fort Lauderdale,Bull shark,Unprovoked,swimming,F,18-24,N,lower limbs,lacerations
327,2014.06.01.b,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.06.01.b-Smith.pdf,2014,01-Jun-14,morning,AUSTRALIA,New South Wales,"Seven Mile Beach, Gerroa",NOT AVAILABLE,Unprovoked,surfing,M,NOT AVAILABLE,N,lower limbs,lacerations
328,2014.06.01.a,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.06.01.a-PalmyraAtoll.pdf,2014,01-Jun-14,NOT AVAILABLE,USA,Palmyra Atoll,NOT AVAILABLE,Blacktip Reef shark,Unprovoked,tagging sharks,F,35-44,N,upper limbs,lacerations
329,2014.05.27.R,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.05.27.R-Freeman.pdf,2014,24-May-14,NOT AVAILABLE,AUSTRALIA,Queensland,Nerang River near Chevron Island,"Bull shark, 1.2m",Unprovoked,sea disaster,F,25-34,N,lower limbs,lacerations
330,2014.05.23,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.05.23-Barnabas.pdf,2014,23-May-14,morning,FRANCE,Wallis and Futuna,Wallis Island,3m shark,Unprovoked,scuba diving,M,NOT AVAILABLE,N,lower limbs,lacerations
331,2014.05.22,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.05.22-Aquarium.pdf,2014,22-May-14,NOT AVAILABLE,AUSTRALIA,New South Wales,The Australian Shark and Ray Centre,"Tawney nurse shark, 1m",Provoked,teasing a shark,M,under 12,N,upper limbs,NOT AVAILABLE
332,2015.11.20,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.11.20-Hurley.pdf,2015,20-Nov-15,morning,ECUADOR,Galapagos Islands,"Punta Vicente Roca, Isabella Island",Galapagos shark,Unprovoked,snorkelling,M,55-64,N,lower limbs,lacerations
333,2014.05.15,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.05.15-Tatsch.pdf,2014,15-May-14,late morning,USA,Florida,"Juan Ponce de León Landing, Melbourne Beach, Brevard County",NOT AVAILABLE,Unprovoked,body boarding,F,35-44,N,lower limbs,bite
334,2014.05.14,"http://sharkattackfile.net/spreadsheets/pdf_directory/2014.05.14-McLeod, pdf",2014,14-May-14,morning,AUSTRALIA,South Australia,"Elliston, Eyre Peninsula","white shark, 15'",Unprovoked,surfing,M,35-44,N,no injury,no injury
335,2014.05.13,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.05.13-Cosa.pdf,2014,13-May-14,late morning,USA,Florida,"Jacksonville Beach, Duval County",NOT AVAILABLE,Unprovoked,wading,F,35-44,N,lower limbs,lacerations
336,2014.05.11,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.05.11-Meadows.pdf,2014,11-May-14,NOT AVAILABLE,USA,Georgia,"Tybee Island, Chatham County",Shark involvement not confirmed,Unprovoked,surfing,M,12-17,N,lower limbs,NOT AVAILABLE
337,2014.05.10.R,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.05.10.R-Roseman.pdf,2014,Reported 10-May-2014,NOT AVAILABLE,USA,Florida,"Bethel Shoals, Indian River County",No shark involvement,Invalid,diving,M,NOT AVAILABLE,N,no injury,no injury
338,2014.05.06,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.05.06-Popp.pdf,2014,06-May-14,afternoon,USA,South Carolina,"Coligny Beach, Hilton Head, Beaufort County",4' to 5' shark,Unprovoked,swimming,F,35-44,N,lower limbs,lacerations
339,2014.05.01,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.05.01-Nolet.pdf,2014,01-May-14,afternoon,USA,Florida,"New Smyrna Beach, Volusia County",3' shark,Unprovoked,surfing,M,18-24,N,upper limbs,lacerations
340,2014.04.24,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.04.24-WA.pdf,2014,24-Apr-14,NOT AVAILABLE,AUSTRALIA,Western Australia,"South Passage, south of Coral Bay",reef shark?,Unprovoked,spearfishing,M,NOT AVAILABLE,N,NOT AVAILABLE,NOT AVAILABLE
341,2014.04.22,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.04.22-CocoaBeach.pdf,2014,22-Apr-14,afternoon,USA,Florida,"Cocoa Beach, Brevard  County",NOT AVAILABLE,Unprovoked,swimming,M,35-44,N,lower limbs,lacerations
342,2014.04.15,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.04.15-NSB.pdf,2014,15-Apr-14,morning,USA,Florida,"New Smyrna Beach, Volusia County",NOT AVAILABLE,Unprovoked,wading,M,25-34,N,lower limbs,lacerations
343,2014.04.12.R,http://sharkattackfile.net/spreadsheets/pdf_directory/.2014.04.12.R-inflatable,2014,Reported 12-Apr-2014,NOT AVAILABLE,SOUTH AFRICA,NOT AVAILABLE,NOT AVAILABLE,White shark,Boat,shark watching,NOT AVAILABLE,NOT AVAILABLE,N,no injury,bite
344,2014.04.12,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.04.12-McDougall.pdf,2014,12-Apr-14,morning,SOUTH AFRICA,Eastern Cape Province,Port Alfred,"Raggedtooth shark, 2m",Provoked,fishing,M,NOT AVAILABLE,N,lower limbs,lacerations
345,2014.04.04.b,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.04.04.b-NSB.pdf,2014,04-Apr-14,afternoon,USA,Florida,"New Smyrna Beach, Volusia County",NOT AVAILABLE,Unprovoked,surfing,M,12-17,N,lower limbs,NOT AVAILABLE
346,2014.04.04.a,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.04.04.a-NSB.pdf,2014,04-Apr-14,afternoon,USA,Florida,"New Smyrna Beach, Volusia County",NOT AVAILABLE,Unprovoked,surfing,M,12-17,N,lower limbs,lacerations
347,2014.04.03,http://sharkattackfile.net/spreadsheets/pdf_directory/http://sharkattackfile.net/spreadsheets/pdf_directory/2014.04.03-Armstrong.pdf,2014,03-Apr-14,morning,AUSTRALIA,New South Wales,Tathra,3 m to 4 m white shark,Unprovoked,swimming,F,55-64,Y,NOT AVAILABLE,NOT AVAILABLE
348,2014.03.29,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.03.29-WesternAustralia.pdf,2014,29-Mar-14,afternoon,AUSTRALIA,Western Australia,Off Dawesville Cut,NOT AVAILABLE,Invalid,diving for fish/pearls,M,35-44,Y,NOT AVAILABLE,bite
349,2014.03.22.b,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.03.22.b-SecondBeach.pdf,2014,22-Mar-14,afternoon,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St Johns",2 m shark,Unprovoked,swimming,M,65-74,Y,NOT AVAILABLE,NOT AVAILABLE
350,2014.03.22.a,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.03.22.a-Hoffman.pdf,2014,22-Mar-14,NOT AVAILABLE,USA,Florida,Delray Beach,4' to 5' shark,Unprovoked,surfing,M,NOT AVAILABLE,N,upper limbs,lacerations
351,2014.03.21,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.03.21-Cozzen.pdf,2014,21-Mar-14,NOT AVAILABLE,USA,Florida,Macarthur State Park,NOT AVAILABLE,Unprovoked,surfing,M,under 12,N,lower limbs,lacerations
352,2014.03.18.c,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.03.18.c-Borgna,2014,18-Mar-14,afternoon,NEW CALEDONIA,Baie de Sainte-Marie,NOT AVAILABLE,NOT AVAILABLE,Unprovoked,surfing,M,35-44,N,lower limbs,lacerations
353,2014.03.18.b,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.03.18.b-Byrne.pdf,2014,18-Mar-14,morning,AUSTRALIA,Victoria,Winkipop Beach,NOT AVAILABLE,Unprovoked,surfing,M,35-44,N,NOT AVAILABLE,NOT AVAILABLE
354,2014.03.13,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.03.13-Dimitri.pdf,2014,13-Mar-14,NOT AVAILABLE,CAYMAN ISLANDS,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,Invalid,scuba diving / culling lionfish,M,NOT AVAILABLE,N,no injury,no injury
355,2014.03.18,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.03.18-NSW.pdf,2014,18-Mar-14,afternoon,AUSTRALIA,New South Wales,Lennox Head,No shark involvement,Invalid,not available,F,under 12,N,upper limbs,NOT AVAILABLE
356,2014.03.12,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.03.12-LightouseBeach.pdf,2014,12-Mar-14,evening,AUSTRALIA,New South Wales,Lighthouse Beach,Wobbegong shark,Unprovoked,swimming,M,NOT AVAILABLE,N,lower limbs,lacerations
357,2014.03.02,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.03.02-Fugitt.pdf,2014,02-Mar-14,NOT AVAILABLE,USA,Florida,"Santa Lucea Beach, South Hutchinson Island, St. Lucie County",Blacktip or spinner shark?,Unprovoked,surfing,M,18-24,N,lower limbs,lacerations
358,2014.02.20,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.02.20-FrenchPolynesia.pdf,2014,20-Feb-14,afternoon,FRENCH POLYNESIA,Society Islands,Huahine,Blacktip reef shark,Unprovoked,surfing,M,18-24,N,lower limbs,lacerations
359,2014.02.17,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.02.17.R-OneDLL,2014,Reported 17-Feb-2014,night,PAPUA NEW GUINEA,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,Boat,sailing,M,18-24,N,no injury,bite
360,2014.02.08,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.02.08-Kellett.pdf,2014,08-Feb-14,late morning,AUSTRALIA,South Australia,"Goldsmith Beach, Yorke Peninsula",NOT AVAILABLE,Unprovoked,spearfishing,M,25-34,Y,NOT AVAILABLE,NOT AVAILABLE
361,2014.02.07.b,http://sharkattackfile.net/spreadsheets/pdf_directory/w014.01.25-Grant.pdf,2014,07-Feb-14,NOT AVAILABLE,TRINIDAD & TOBAGO,Trinidad,NOT AVAILABLE,NOT AVAILABLE,Provoked,fishing,M,NOT AVAILABLE,N,NOT AVAILABLE,NOT AVAILABLE
362,2014.02.07,http://sharkattackfile.net/spreadsheets/pdf_directory/w014.01.25-Grant.pdf,2014,07-Feb-14,early night,NEW ZEALAND,South Island,Porpoise Bay,7-gill shark?,Unprovoked,surfing,M,25-34,N,lower limbs,lacerations
363,2014.01.26,http://sharkattackfile.net/spreadsheets/pdf_directory/w014.01.25-Grant.pdf,2014,26-Jan-14,NOT AVAILABLE,AUSTRALIA,New South Wales,Umina Beach,1m shark,Provoked,fishing,M,NOT AVAILABLE,N,upper limbs,lacerations
364,2014.01.25,http://sharkattackfile.net/spreadsheets/pdf_directory/w014.01.25-Grant.pdf,2014,25-Jan-14,NOT AVAILABLE,NEW ZEALAND,South Island,Garden Bay near Cosy Nook,7-gill shark,Unprovoked,spearfishing,M,18-24,N,lower limbs,NOT AVAILABLE
365,2014.01.04,pdf_directory2014.01.04-Riano.pdf,2014,04-Jan-14,NOT AVAILABLE,JAPAN,Okinawa Prefecture,Off Miyako Island,NOT AVAILABLE,Sea Disaster,sea disaster,M,25-34,N,lower limbs,bite
366,2014.00.00,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.00.00-Jeff-Andy.pdf,2014,2014,NOT AVAILABLE,NEW ZEALAND,NOT AVAILABLE,Stewart Island,"White shark, 6 m",Boat,filming a documentary,NOT AVAILABLE,NOT AVAILABLE,N,no injury,bite
367,2013.12.25,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.12.25-NewCaledonia.pdf,2013,25-Dec-13,late morning,NEW CALEDONIA,North Province,"Lindéralique, Hienghène",Reported to involve a bull shark,Unprovoked,snorkelling,M,35-44,N,lower limbs,bite
368,2013.12.16,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.12.16-Browne.pdf,2013,16-Dec-13,morning,SOUTH AFRICA,Western Cape Province,Die Platt,"White shark, 3m",Unprovoked,surfing,M,18-24,N,lower limbs,NOT AVAILABLE
369,2013.12.13,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.12.13-Kiribati.pdf,2013,13-Dec-13,NOT AVAILABLE,KIRIBATI,740 miles SE of Tarawa Atoll,NOT AVAILABLE,NOT AVAILABLE,Unprovoked,attempting to remove fishing net from submerged object,M,35-44,N,upper limbs,NOT AVAILABLE
370,2013.12.11,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.12.11-Hawaii.pdf,2013,11-Dec-13,morning,USA,Hawaii,"Ninole Bay, Hawaii County","Tiger shark, 10' to 12'",Unprovoked,body surfing,M,25-34,N,lower limbs,lacerations
371,2013.12.10,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.12.10-Baughman.pdf,2013,10-Dec-13,afternoon,USA,Florida,"Cocoa Beach, Brevard  County",4' to 6' shark,Unprovoked,surfing,M,25-34,N,lower limbs,bite
372,2013.12.05,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.12.05-PortMacquarie.pdf,2013,05-Dec-13,evening,AUSTRALIA,New South Wales,"Shelly Beach, near Port Macquarie","Wobbegong shark, 1.6 to 1.8m",Unprovoked,surfing,M,25-34,N,lower limbs,lacerations
373,2013.12.02,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.12.02-Briney.pdf,2013,02-Dec-13,morning,USA,Hawaii,"Between  Makena & Molokini, Maui",NOT AVAILABLE,Unprovoked,in row boat,M,55-64,Y,NOT AVAILABLE,NOT AVAILABLE
374,2013.11.30,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.11.30-ZacYoung.pdf,2013,30-Nov-13,afternoon,AUSTRALIA,New South Wales,"Riecks Point,  Campbell’s Beach,","Tiger shark, 3m",Unprovoked,body boarding,M,18-24,Y,NOT AVAILABLE,NOT AVAILABLE
375,2013.11.29,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.11.29-Maui.pdf,2013,29-Nov-13,afternoon,USA,Hawaii,"Keawekapu Beach, Kihei, Maui",NOT AVAILABLE,Unprovoked,snorkelling,F,55-64,N,lower limbs,bite
376,2013.11.23.a,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.11.23.a-Boyd.pdf,2013,23-Nov-13,morning,AUSTRALIA,Western Australia,Gracetown,Thought to involve a white shark,Unprovoked,surfing,M,35-44,Y,NOT AVAILABLE,NOT AVAILABLE
377,2013.11.22,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.11.22-Gardiner,2013,22-Nov-13,morning,USA,Oregon,"Gleneden Beach, Lincoln County","White shark, 10 '",Unprovoked,surfing,M,25-34,N,no injury,bite
378,2013.11.12,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.11.12-Daly,2013,12-Nov-13,afternoon,AUSTRALIA,Western Australia,"Trigg Beach, Perth",Reported to involve a white shark,Unprovoked,surfing,M,NOT AVAILABLE,N,no injury,no injury
379,2013.11.10,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.11.10-Bahamas,2013,10-Nov-13,late morning,BAHAMAS,NOT AVAILABLE,Off Cape Eleuthera,NOT AVAILABLE,Provoked,shark fishing,M,75 and over,N,lower limbs,NOT AVAILABLE
380,2013.11.07.b,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.11.07.b-Gates,2013,07-Nov-13,afternoon,USA,New Jersey,"Bay Head, Ocean County",NOT AVAILABLE,Unprovoked,body boarding,M,12-17,N,no injury,bite
381,2013.11.07.a,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.11.07.a-Melian,2013,07-Nov-13,NOT AVAILABLE,USA,Florida,"Floridana Beach, Brevard County",NOT AVAILABLE,Unprovoked,surfing,M,NOT AVAILABLE,N,lower limbs,bite
382,2013.10.31,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.10.31-ChristianBrandon,2013,31-Oct-13,afternoon,USA,Hawaii,"Kanaha Beach, Maui",Tiger shark,Unprovoked,kiteboarding,M,45-54,N,lower limbs,bite
383,2013.10.28,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.10.28-Simmons,2013,28-Oct-13,afternoon,AUSTRALIA,Western Australia,Turquoise Bay,"Blacktip reef shark, 1m",Unprovoked,snorkelling,F,55-64,N,upper limbs,lacerations
384,2013.10.26.b,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.10.26.b-Tanguy,2013,26-Oct-13,afternoon,REUNION,d’Étang-Salé,Ravine Mula,Thought to involve a bull shark,Unprovoked,body boarding,M,18-24,N,lower limbs,severed body part
385,2013.10.26.a,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.10.26.a-Robinson.pdf,2013,26-Oct-13,morning,AUSTRALIA,Western Australia,"Little Island, near Hillarys",Reported to involve a 4 m white shark,Unprovoked,diving for fish/pearls,M,NOT AVAILABLE,N,no injury,no injury
386,2013.10.24,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.10.24-Joyce.pdf,2013,24-Oct-13,evening,AUSTRALIA,New South Wales,South Narrabeen Beach,Wobbegong shark,Unprovoked,surfing,M,35-44,N,lower limbs,NOT AVAILABLE
387,2013.10.23,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.10.23-ShaneMills.pdf,2013,23-Oct-13,afternoon,USA,Hawaii,"Waiehu, Maui","Whitetip reef shark, 4' to 6'",Unprovoked,diving,M,45-54,N,abdomen,lacerations
388,2013.10.20,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.10.20-Horton.pdf,2013,20-Oct-13,late morning,USA,Hawaii,"Pila'a Beach, Kaua'i",Tiger shark,Unprovoked,surfing,M,25-34,N,no injury,bite
389,2013.10.19,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.10.19-Hamby.pdf,2013,19-Oct-13,late afternoon,USA,Florida,Miami Beach,Nurse shark?,Unprovoked,wading,M,under 12,N,lower limbs,bite
390,2013.10.11,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.10.11-Vd-Westhuizen.pdf,2013,11-Oct-13,late morning,SOUTH AFRICA,Eastern Cape Province,"Albatros Point, near Jeffrey's Bay",White shark,Unprovoked,snorkelling,M,65-74,Y,NOT AVAILABLE,NOT AVAILABLE
391,2013.10.08,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.10.08-Pickering.pdf,2013,08-Oct-13,morning,AUSTRALIA,Western Australia,"Off Poison Creek, Cape Arid",White shark,Unprovoked,diving for fish/pearls,M,55-64,N,abdomen,NOT AVAILABLE
392,2013.10.05,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.10.06-Scrivner.pdf,2013,06-Oct-13,morning,USA,California,"Bunkers, Humboldt Bay, Eureka, Humboldt County","White shark, 8' to 10'",Unprovoked,surfing,M,45-54,N,lower limbs,lacerations
393,2013.10.05,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.10.05-Standridge.pdf,2013,10-Oct-13,afternoon,USA,Florida,"Destin, Okaloosa County",Small bull shark,Unprovoked,wading,M,12-17,N,upper limbs,lacerations
394,2013.09.29.b,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.09.29.b-BrevardSurfer.pdf,2013,29-Sep-13,morning,USA,Florida,"Melbourne Beach, Brevard County",NOT AVAILABLE,Unprovoked,surfing,M,45-54,N,upper limbs,lacerations
395,2013.09.29.a,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.09.29.a-Lev.pdf,2013,29-Sep-13,late morning,ISRAEL,Southern District,Ashdod,NOT AVAILABLE,Provoked,diving,M,25-34,N,upper limbs,bite
396,2013.09.25,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.09.25-EthanHand.pdf,2013,25-Sep-2013,morning,USA,Florida,"Panama City, Bay County",NOT AVAILABLE,Unprovoked,standing,M,under 12,N,lower limbs,lacerations
397,2013.09.21.b,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.09.21.b-OrmondBeach.pdf,2013,21-Sep-2013,afternoon,USA,Florida,"Ormond Beach, Volusia County",NOT AVAILABLE,Unprovoked,swimming,M,45-54,N,lower limbs,lacerations
398,2013.09.21.a,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.09.21.a-Dugan.pdf,2013,21-Sep-2013,morning,USA,Florida,"Carlin Park, Jupiter, Palm Beach County",NOT AVAILABLE,Unprovoked,surfing,M,NOT AVAILABLE,N,NOT AVAILABLE,lacerations
399,2013.09.14,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.09.14-Kalck.pdf,2013,14-Sep-2013,afternoon,USA,Florida,"Casino Beach, Pensacola, Escambia County",Bull shark,Unprovoked,swimming,M,18-24,N,lower limbs,lacerations
400,2013.09.12,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.09.12-Portman.pdf,2013,12-Sep-2013,afternoon,USA,Florida,"New Smyrna Beach,  Volusia County",3' shark,Unprovoked,surfing,F,12-17,N,lower limbs,bite
402,2013.09.07.b,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.09.07.b-Graham.pdf,2013,07-Sep-2013,afternoon,USA,Florida,"New Smyrna Beach,  Volusia County",3' shark,Provoked,surfing,M,35-44,N,lower limbs,bite
403,2013.09.07.a,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.09.07.a-Cardiel.pdf,2013,07-Sep-2013,afternoon,USA,Florida,"New Smyrna Beach,  Volusia County",3' shark,Unprovoked,standing,M,25-34,N,lower limbs,bite
404,2013.09.02,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.09.02-Floyd.pdf,2013,02-Sep-2013,afternoon,USA,Florida,"Ormond Beach, Volusia County",NOT AVAILABLE,Unprovoked,swimming,M,12-17,N,upper limbs,bite
405,2013.09.01.c,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.09.01-KeyWestAquarium.pdf,2013,01-Sep-2013,NOT AVAILABLE,USA,Florida,Key West Aquarium,Nurse shark,Provoked,not available,M,under 12,N,upper limbs,bite
406,2013.09.01.b,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.09.01.b-Bahamas.pdf,2013,01-Sep-2013,NOT AVAILABLE,BAHAMAS,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,Unprovoked,not available,M,NOT AVAILABLE,N,lower limbs,NOT AVAILABLE
407,2013.09.01.a,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.09.01.a-Baker.pdf,2013,01-Sep-2013,late morning,USA,Florida,"St Augustine Beach, St Johns County",4' shark,Unprovoked,casting a net,M,under 12,N,lower limbs,lacerations
408,2013.08.31.b,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.08.31.b-Collins.pdf,2013,31-Aug-13,NOT AVAILABLE,BAHAMAS,NOT AVAILABLE,Freetown Beach,Blacktip shark,Unprovoked,spearfishing,M,NOT AVAILABLE,N,lower limbs,bite
409,2013.08.31.a,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.08.31.a-Kennedy.pdf,2013,31-Aug-13,night,USA,California,"Butterfly Beach, Montecito, Santa Barbara County",Salmon shark,Unprovoked,swimming,M,NOT AVAILABLE,N,lower limbs,bite
410,2013.08.29,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.08.29-Brynn.pdf,2013,29-Aug-13,NOT AVAILABLE,USA,California,Catalina Channel,No shark involvement,Invalid,marathon swimming,F,45-54,N,abdomen,bite
411,2013.08.26,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.08.26-Arufe.pdf,2013,26-Aug-13,early night,FRANCE,Bay of Biscay,NOT AVAILABLE,"Mako shark, 5'",Provoked,fishing,M,45-54,N,upper limbs,lacerations
412,2013.08.25.b,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.08.25-OttoLee.pdf,2013,25-Aug-2013,afternoon,USA,Florida,"Winterhaven Park,           Ponce Inlet, Volusia County",NOT AVAILABLE,Unprovoked,body surfing,F,under 12,N,lower limbs,NOT AVAILABLE
